id	de	
Age	Alter	
Back	Zurück	
City	Stadt	
Cancel	Abbrechen	
Done	Fertig	
Error	Fehler	
Sex	Geschlecht	
Male	Männlich	
Female	Weiblich	
Info	Info	
Record	Aufnahme	
Word	Wort	
Sending data...	Daten werden gesendet	
Next	Weiter	
Previous	Früher	
No	Nein	
Yes	Ja	
No, thanks	Nein, danke	
Ok	Ok	
Ok, I'm in!	OK, ich helfe gerne!	
Play	Abspielen	
Send	Senden	
Skip	Überspringen	
Step	Schritt	
Unknown	Unbekanntes	
Unknown Location	Unbekanntes Ort	
Location	Ort	
Select Location	Ort wählen	
Select Location Info	Setzen Sie den Pin auf jenen Ort, wo man am ehesten so spricht wie Sie.	
Your Location	Standort	
Please fill in the information about yourself	Bitte füllen Sie die Pflichtfelder „Dialäkt wählen“, Alter und Geschlecht aus	
Submitting the recordings via mobile network might cause additional changes. in order to avoid it, try to access to a WiFi network instead.	Das Senden der Aufnahmen über ein mobiles Netzwerk kann Zusatzkosten bei Ihrem Provider verursachen. Um dies zu verhindern, benutzen Sie WiFi.	
The analysis that you are most likely from:	Vermutlich kommen Sie aus:	
There are no entries for this city	Für diesen Ort gibt es noch keine Aufnahmen	
This option is under construction	This option is under construction	
Your data is submitted. Thank you for taking the part in our research!	Ihre Daten wurden übermittelt. Besten Dank!	
Your recordings are now being submitted. Thank you for participating in our survey!	Ihre Daten werden übermittelt. Vielen Dank für Ihre Teilnahme!	
No internet connection available	Keine Internetverbindung. Bitte Einstellungen prüfen und nochmals versuchen.	
No Microphone Access	Microphone access is denied. Please go to the settings and turn on microphone access for Deutsch Regional app.	
Go to Settings	Go to Settings	
Previous Record	Vorherige	
Next Record	Nächste	
Record Profile Title	Aufnahme	
Record Profile Info	Hier können Sie Sätze in ihrer Aussprache aufnehmen und diese dabei anonym auf unserer interaktiven Karte verlinken. So werden Ihre Aufnahmen für andere Benutzer hörbar.	
Record Instruction Info	Bitte nehmen Sie Ihre Stimme in einer möglichst ruhigen Umgebung auf. Halten Sie Ihr Gerät ca. 15 cm von Ihrem Mund entfernt. Bitte sprechen Sie den Text in Ihrer Regionalsprache laut und deutlich aus.	
Restart	Neustart	
Start recording	Aufnahme starten	
Start recordings	Aufnahmen starten	
Stop recording	Aufnahme stoppen	
Stop	Stoppen	
Instructions	Anleitung	
Record Profile Bottom	Wenn Sie auf ‘Aufnahme starten’ klicken, so stimmen Sie unseren Datenschutzbestimmungen zu; siehe Info Tab > Datenschutz	
Choose	Auswählen	
Get started	Los geht's	
Failed to load record phrases	Aufnahme-Texte konnten nicht geladen werden. Bitte Internetverbindung prüfen und erneut versuchen	
Failed to load questions	Fragebogen konnte nicht geladen werden. Bitte Internetverbindung prüfen und erneut versuchen	
Reload	Erneut versuchen	
