id	de	en	hu	
(only by staff)	(nur durch Mitarbeiter)	(only by staff)	(dolgozók számára)	
About the museum	Über das Museum	About Our Museum	Múzeumunkról	
All services are on and available to use.	Alle Dienste sind bereit - Viel Spass mit der App.	All services are on and available to use.	Minden szolgáltatás elérhető.	
App is not authorised to use location services.	App benötigt Berechtigung für Ortungsdienste	App is not authorised to use location services.	Az applikáció nem jogosult a helymeghatározás szolgáltatásra.	
Approximate distance for visiting POI.	Ungefähre Distanz, um POI als besucht zu markieren.	Approximate distance for visiting POI.	A körülbelüli távolság a céltól.	
AUTOPLAY_NOTIFICATION_KEY	Audio wird automatisch abgespielt, wenn Sie nahe eines Point of Interest sind.	Audio will start to play automatically when you approach a point of interest.	A hanganyagok automatikusan elindulnak a célhoz közelítve.	
Autoplay enabled	Autoplay aktiviert	Autoplay enabled	Automatikus lejátszás engedélyezett.	
BLE_SWITCHED_OFF_KEY	Bitte Bluetooth aktivieren.	Please turn on Bluetooth.	Kapcsold be a Bluetooth-t!	
Cancel	Abbrechen	Cancel	Mégsem	
Cash voucher now	Gutschein einlösen	Redeem voucher now	Kupon beváltása most.	
Choose network to share	Wo möchten Sie teilen?	Choose network to share	Válasszon hálózatot a megosztáshoz.	
Close	Schließen	Close	Bezár	
CLOSING SOON	SCHLIESST BALD	CLOSING SOON	Hamarosan zár	
COMING SOON	IN KÜRZE	COMING SOON	Hamarosan	
COMPLETED	BEENDET	COMPLETED	Befejezve	
QUIZ_SUCCESS_WITH_VOUCHER_KEY	"Gratulation!\n\nSie haben erfolgreich den Quiz ""%@"" beendet und erhalten einen Gutschein!"	"Congratulations!\n\nYou have successully completed quiz ""%@"" and received a voucher!"	"Gratulálunk!\nSikeresen megoldottad a ""%@"" kvízt és ezért jár neked a kupon."	
QUIZ_SUCCESS_KEY	"Gratulation!\n\nSie haben erfolgreich den Quiz ""%@"" beendet!"	"Congratulations!\n\nYou have successully completed quiz ""%@""!"	"Gratulálunk!\nSikeresen megoldottad a ""%@"" kvízt."	
QUIZ_FAILED_KEY	Ooops...\n\nSie haben nicht genügend Fragen korrekt beantwortet.	Ooops...\n\nYou have not answered correctly for needed count of questions.	Hoppá... Nem adtál elég helyes választ.	
CURRENT	AKTUELL	CURRENT	Aktuális	
SHARE_THE_APP_KEY	Laden Sie %@ um einen neuartigen Museumsbesuch zu erleben \n%@	Download %@ to experience your museum visit in a whole new way\n%@	Töltsd le a %@ \n%@	
Error	Fehler	Error	Hiba	
Exhibition	Sonderausstellung	Exhibition	Kiállítás	
Far	Nah	Far	Távol	
Favorites	Merkliste	Liked Items	Kedvencek	
Featured Exhibitions	Sonderausstellung	Featured Exhibitions	Kiemelt kiállítások	
Highlights Near You	Highlights in der Nähe	Highlights Near You	Kiemelt tárgyak a közeledben	
I've just finished %@ at %@\n%@	Ich habe soeben %@ im  %@\n@ beendet	I've just finished %@ at %@\n@	Éppen most végeztem %@ %@-kor @	
iBeacons are not available on this device.	Leider ist Ihr Gerät nicht in der Lage, Ortungsdaten zu verarbeiten.	iBeacon is not available on this device.	Az iBeacon nem elérhető ezen az eszközön.	
Immediate	Sofort	Immediate	Legközelebbi	
NAVIGATION_UNAVAILABLE_KEY	Indoor Navigation ist nicht verfügbar	Indoor navigation is currently unavailable	A beltéri navigáció jelenleg nem elérhető.	
INFO	INFO	INFO	Információ	
meter	meter	meter	méter	
meters	meter	meters	méter	
Minimum time after which POI will be visited	Zeit, bis ein Point of Interest als besucht markiert wird.	Minimum time after which a point of interest will be visited.	A legrövidebb idő a következő célállomásig.	
Navigation	Navigation	Navigation	Navigáció	
Near	Nah	Near	Közelben	
NEW	NEU	NEW	ÚJ	
No available quizes	Aktuell sind keine Quiz verfügbar.	Currently there are no quizzes available.	Jelenleg nincs elérhető kvíz.	
NO DATA AVAILABLE	Zurzeit gibt es keine Einträge. Bitte versuchen Sie es später.	Currently there are no items. Please check back later.	Jelenleg nincs elérhető kiállítási tárgy. Kérlek ellenőrizd később.	
No delay	Keine Verzögerung	No delay	Nincs késés.	
No Facebook account	Kein Facebook Account vorhanden	No Facebook account	Facebook fiók nem áll rendelkezésre.	
NO FAVORITES	Sie haben noch keine Favoriten zur Merkliste hinzugefügt.	You have not added any items yet.	Nem adtál még hozzá egyetlen tételt sem.	
No highlights near you	Wir konnten keine Elemente in der Nähe finden. Sobald es welche hat, zeigen wir sie an.	We didn't find highlights near you - we'll show them as soon as you're close.	Nem találtunk kiemelt pontot a közeledben, jelezzük amint a közelébe érsz egynek.	
no_internet_connection	Keine Internetverbindung. Bitte prüfen und nochmals versuchen.	No internet connection. Please check and retry.	Nincs internet kapcsolat. Ellenőrizd és próbáld újra.	
No Twitter account	Kein Twitter Account	No Twitter account	Twitter fiók nem áll rendelkezésre.	
NO VOUCHERS AVAILABLE	Aktuell sind keine Gutscheine vorhanden.	There are currently no vouchers available.	Jelenleg nem áll rendelkezésre kupon.	
Notifications	Mitteilungen	Notifications	Értesítő	
OPEN LINK IN BROWSER	Link im Browser öffnen.	Open this link in the browser.	Nyisd meg ezt a linket a böngésződben.	
AUTOPLAY_ENABLED_KEY	Starte Audio, sobald in der Nähe eines Point of Interest.	Start playing audio as soon as you approach a point of interest in a Guided Tour.	Audió tartalom lejátszásának bekapcsolása a POI elérésekor a tárlatvezetés közben.	
Please go to device settings and login to socials	Bitte loggen Sie sich in den Einstellungen im gewünschten Dienst ein.	Please go to device settings and login to your preferred social network.	"Kérlek jelentkezz be az általad választott social network-re az eszközöd ""beállítsok"" menüjében."	
POI visit minimum delay	POI Besuch Verzögerung	POI visit minimum delay	POI látogatásának minimális késése.	
Proximity trigger	Auslöser wenn nahe POI	Proximity trigger	Közeli trigger	
question	Frage	question	kérdés	
questions_first_plural_form	Fragen	questions	kérdések	
questions_second_plural_form	Fragen	questions	kérdések	
questions_general_plural_form	Fragen	questions	kérdések	
Quiz	Quiz	Quiz	Kvíz	
Quizes	Quiz	Quizzes	Kvízek	
Ready for indoor navigation!	Alles bereit - viel Spass in unserem Museum!	You are ready - enjoy our museum!	Készen állsz - érezd jól magad múzeumunkban.	
Redeemed	Eingelöst	Redeemed	Beváltott kuponok	
Results	Resultate	Results	Eredmény	
second	Sekunde	second	másodperc	
seconds	Sekunden	seconds	másodperc	
