id	de	en	hu	
gallery		Archive	Archívum	
galleries_first_plural_form		Archives	Archívum	
galleries_second_plural_form		Archives	Archívum	
galleries_general_plural_form		Archives Online	Archívum online	
About the museum		About the Gallery	A Galériáról	
welcome_to_museum_message		Welcome to the Hungarian National Gallery	Üdvözlünk a Magyar Nemzeti Galériában!	
galleries_tutorial_info		Explore online featured artworks of our archive.	Ismerd meg online archívum kiemelt műtárgyait!	
exhibitions_tutorial_info		Explore our permanent and temporary exhibitions.	Fedezd fel állandó és időszaki kiállításainkat!	
guided_tours_tutorial_info		Interactive tours in our gallery building and exhibitions.	Interaktív vezetések a galéria épületében és a kiállításokban.	
vouchers_tutorial_info		Retrieve vouchers for finished guided tours and quizzes!	Retrieve vouchers for finished guided tours and quizzes!	
SHARE_THE_APP_KEY		Download %@ to experience your gallery visit in a whole new way\n%@		
Ready for indoor navigation!		You are ready - enjoy our gallery!		
NO_BEACONS_NEARBY_NOTIFICATION_KEY		You should be inside the gallery to finish Guided Tour.		
You are outside of the museum		You are outside of the gallery		
museum_url		http://mng.hu/en	http://mng.hu/	
Featured Guided Tours			Kiemelt tárlatvezetések	
Guided Tour			Túrák	
Guided Tours			Túrák	
No Featured Guided Tours			Jelenleg nem áll rendelkezésre tárlatvezetés.	
All Guided Tours			Túrák	
START THE TOUR			Tárlatvezetés megkezdése	
TOUR FINISHED			VÉGE	
TOURS			Túrák	
tour_finish_message			Befejezted a tárlatot.	
