English version;
Please check and confirm your details are correct;Tarkista tiedot ja vahvista, että ne ovat oikein
Please tick here if you would like to receive exclusive offers and promotions from SUBWAY® Stores;Rastita tämä ruutu, jos haluat saada upeita tarjouksia ja tietoja SUBWAY®-ravintoloiden kampanjoista
Enter email address;Anna sähköpostiosoite
Enter post code or region;Anna postinumero tai paikkakunta
SUBCARD™ app set up;SUBCARD™™™-sovelluksen asetus
To start earning points on your SUBWAY® Store purchases follow this easy guide to install the app and get a unique barcode on your phone which can be scanned at the till in-store. Pick one of the following options:;Voit aloittaa pisteiden keräämisen SUBWAY®-ravintolan ostoksistasi asentamalla sovelluksen näitä ohjeita noudattamalla. Saat tällöin puhelimeesi yksilöllisen viivakoodin, jonka voit skannata ravintolan kassalla. Valitse jokin seuraavista vaihtoehdoista:
Subway Error occurred. Please try again;Subwayssä tapahtui virhe. Yritä uudelleen
Please note the app will now replace your current;Huomaa: sovellus korvaa nykyisen korttisi
Enter your details;Anna omat tietosi
Points Balance;Pistesaldo
Send me an email reminder;Lähetä minulle muistutus sähköpostitse
Receive password email reminder;Lähetä salasanan muistutus sähköpostitse
Finland;Suomi
None;Ei mitään
SMS;Tekstiviesti
SMS and email;Tekstiviesti ja sähköposti
Unable to load web page;Verkkosivun lataaminen ei onnistu
Mailing preferences;Postitusvalinnat
User details;Käyttäjätiedot
Mobile;Matkapuhelin
SUBCARD™™® no;SUBCARD™®-nro
All fields need to be filled in to continue;Kaikki kentät tulee olla täytettynä jatkaaksesi
Please enter a password of 4 characters or more;Syötä vähintään 4 merkkiä pitkä salasana
Email is invalid;Sähköpostiosoite on virheellinen
SUBCARD™ numbers are 16 digits. Please try re-entering your number ;SUBCARD™-numeroissa on 16 lukua. Syötä numerosi uudelleen 
D.O.B;Syntymäaika
SUBCARD™ Points balance could not be updated at this time;SUBCARD™-pistesaldon päivitys ei onnistu tällä hetkellä
Next;Seuraava
Register;Rekisteröidy
You have successfully registered your SUBCARD™® app;Olet rekisteröinyt SUBCARD™®-sovelluksesi onnistuneesti
The name you entered is too long;Antamasi nimi on liian pitkä
Account Details;Tilitiedot
Gender;Sukupuoli
Confirm details;Vahvista tiedot
Thank you, your password has been emailed to you;Kiitos, salasanasi on lähetetty sinulle sähköpostitse
Error Code 1: There was a problem sending the request, please try again later;Virhekoodi 1: Pyynnön lähetyksessä tapahtui virhe, yritä myöhemmin uudelleen 
Error Code 2: There was a problem sending the request, please try again later;Virhekoodi 2: Pyynnön lähetyksessä tapahtui virhe, yritä myöhemmin uudelleen
Empty request;Tyhjä pyyntö
A registered member with this email address could not be found, please try another;Rekisteröitynyttä jäsentä ei löytynyt tällä sähköpostiosoitteella, kokeile toista osoitetta
Please enter a valid email;Anna hyväksyttävä sähköpostiosoite
Reminder;Muistutus
Your SUBCARD™® app has been successfully linked to your existing SUBCARD™® account;SUBCARD™®-sovellus on nyt yhdistetty olemassa olevaan SUBCARD™®-tiliisi
There was no match for the email address and password provided, please try again;Syöttämäsi sähköpostiosoite ja salasana eivät täsmää, yritä uudelleen
Email field cannot be blank;Sähköpostikenttä ei voi olla tyhjä
Email is incorrect;Sähköposti on virheellinen
Password field cannot be blank;Salasanakenttä ei voi olla tyhjä
Welcome;Tervetuloa
Back;Takaisin
Registered SUBCARD™® User;Rekisteröitynyt SUBCARD™®-käyttäjä
New user;Uusi käyttäjä
Update;Päivitä
iPhone Version;iPhone-versio
About SUBCARD™®;Tietoja SUBCARD™®-kortista
Store Details;Ravintolan tiedot
Address;Osoite
Telephone;Puhelin
Opening Hours;Aukioloajat
Directions to SUBWAY® Store;Ohjeet SUBWAY®-ravintolaan
Stores Near Me;Lähimmät ravintolat
Detecting location...;Sijaintia paikannetaan...
Searching for stores nearby;Lähimpiä ravintoloita haetaan
Cannot find current location;Nykyistä sijaintia ei löydy
Searching stores;Ravintoloita haetaan
Store Search;Hae ravintola
Last Store selected;Viimeisin tallennettu ravintola
Find SUBWAY® Stores near me;Hae lähimmät SUBWAY®-ravintolat
Search for SUBWAY® Stores;Hae SUBWAY®-ravintoloita
Home;Koti
SUBCARD™® Informationen;SUBCARD™®-tiedot
This feature requires an internet connection which could not be established at this time.;Tämä toiminto edellyttää verkkoyhteyttä, jonka luominen ei onnistu tällä hetkellä.
Loading...;Ladataan...
Filling allergens;Täytteiden allergeenit
Salad suggestions;Salaattiehdotukset
Sauce suggestions;Kastike-ehdotukset
Added on Jan 07:;Lisätty 7. tammikuuta:
Snacks;Naposteltavat
(this alert appears when the app asks for permission to post to Facebook, but the user does not allow access);(tämä ilmoitus tulee näkyviin, kun sovellus pyytää lupaa lähetyksiin Facebookissa, mutta käyttäjä ei salli pääsyä)
This offer is for you only and can't be shared;Tämä tarjous koskee vain sinua, eikä sitä voida jakaa
;
Alerts:;Varoitukset:
Congratulations;Onneksi olkoon!
Cancel;Peruuta
Please note;Huomaa
The app will now replace your current SUBCARD™® ;Sovellus korvaa nykyisen SUBCARD™®-korttisi 
Unable to perform selected action because permissions were not granted.;Valittua toimintoa ei voida suorittaa, koska lupaa ei ole saatu.
Thank you for registering. We've emailed you a link to activate your SUBCARD™® to start earning double points.;Kiitos rekisteröitymisestä. Olemme lähettäneet sähköpostitse SUBCARD™®-aktivointilinkin tuplapisteiden keräämiseksi.
News: ;Uutiset: 
What's New?;Uutuudet
Back to what's new;Takaisin Uutta-osioon
Password:;Salasana:
Confirm password must be same as password;Vahvistetun salasanan on oltava sama kuin salasanan
